protein_id,quality,amplitude,amplitude_err,tau,tau_err,offset,offset_err,exp_half_life,exp_chisqr,exp_redchi,exp_aic,exp_bic,exp_mse,exp_mae,exp_r2,exp_rmse,slope,slope_err,intercept,intercept_err,lin_half_life,lin_chisqr,lin_redchi,lin_aic,lin_bic,lin_mse,lin_mae,lin_r2,lin_rmse,linear_is_better
Tb927.9.11560,1,0.9024789310378902,0.11496781830519115,15.573862582066603,10.384112794548667,0.048989460592621104,0.20163057075423596,22.468334314633676,1.1977225153424595,1.1977225153424595,1.176509953964743,-0.6646069626755855,0.0007702951721017476,0.024491076188012113,0.9844882356032439,0.0277541919734974,-0.02100160322159872,0.0032181902145018457,0.774954089671231,0.07604865559769355,18.449879313838373,4.7050113875673505,2.3525056937836752,4.649335328905575,3.4219240511453566,0.0021501882128026387,0.038113536103540756,0.9567007373619227,0.04637012198390941,False
Tb927.9.11600,1,0.990664541338808,,40.72099764982582,,1.4453271912628907e-09,,58.74798136945484,1369.8227635769724,228.3037939294954,51.22690857118618,51.81858230319484,0.004357229329047637,0.035871109075259526,0.916963559090018,0.06600931244186412,-0.021933994404787605,0.0006101438445230104,0.9901413980736502,0.0012913973431973385,22.57093212938745,481.2822860470933,68.7546122924419,39.81306454514992,40.20751369982236,0.0006138090510164451,0.015014848974124842,0.9883025392638952,0.024775170050202383,True
Tb927.9.11720,1,0.8822996501671567,0.027018398349431268,6.843243217018597,0.4513616407617957,0.08949317001834722,0.02336848440331157,9.872713052789766,8.196735961131846,2.7322453203772823,7.871859313663882,7.2471377213480475,0.0007372760168870237,0.020823622698569726,0.9907910883906322,0.02715282705146968,-0.032910305353708535,0.009646513972674785,0.6880445995183131,0.09932535142303725,10.453330531629055,868.1457176038325,217.03642940095813,33.847600652597365,33.43111959105347,0.024830071708264817,0.13388377578599533,0.6898611505347368,0.15757560632364648,False
Tb927.9.11770,1,1.019872955356837,,26.7189176861566,,2.7992275164478997e-10,,38.54725004373854,4.867206832691599,2.4336034163457994,5.865411572358164,4.693725309660465,7.572372239770107e-05,0.007192697553033178,0.9985772862284985,0.008701937853013033,-0.024859013290758014,0.001910334887893175,0.982657973495981,0.015799593589126984,19.764621427297556,74.5088010894705,24.8362670298235,17.507396707015538,16.726272531883737,0.0008462185747143209,0.02324367456751957,0.9841010613077972,0.02908983627857539,False
Tb927.9.11840,1,0.7657120330438938,0.055693671074731166,5.9682293899635015,0.9028740139830568,0.20380616556058162,0.05749967341562532,8.610334943788107,61.33426059263453,10.222376765439089,23.272026088636924,23.863699820645582,0.0016071635875515983,0.03313915981449027,0.9809852955901583,0.040089444839653224,-0.035322482534115185,0.008135252835140635,0.7484922333138377,0.041840204916413035,10.59512496879188,718.1203773749698,102.5886253392814,43.414713707532904,43.80916286220534,0.037434831611106945,0.15934919369710418,0.5571003081262006,0.14543758323511974,False
Tb927.9.11850,1,0.9354580519712008,0.054983216752181596,13.498454179881083,1.7132300513073933,0.029192889417873236,0.05860387120050027,19.474152904981338,41.50114570757409,8.300229141514817,19.170235940697303,19.40856056573681,0.0007187841554644266,0.018117353797871216,0.9922732484009352,0.026810150232037616,-0.029466755837995295,0.003607035074555096,0.8954619894326201,0.02863123476335497,15.194444789846619,565.3758722481144,94.2293120413524,38.06439383115989,38.22327691451956,0.0053849205645325575,0.06977883867657982,0.9421134379959244,0.07338201799168893,False
Tb927.9.11870,1,0.8916746679441607,0.14494034295206876,13.890500464924013,3.846684013485915,0.1511153770441005,0.1580860401179718,20.039756136211714,0.32677980519394195,0.32677980519394195,-4.01905229855112,-5.860169215191449,0.00013878925380784158,0.010103554142894822,0.9976246864794515,0.011780885102904688,-0.03416084399888586,0.008673419738458175,0.9256859464187117,0.06938673897448713,13.548932609055305,9.010921342007991,4.505460671003996,7.248571851947723,6.021160574187504,0.025488901436300077,0.10136113527344497,0.5637693081814728,0.14461070492058037,False
Tb927.9.11910,1,0.7955609115175302,0.032994129699978475,15.91134403327677,1.4974630790981784,0.17172407220103136,0.03539828482569506,22.955217130686595,10.146367148453356,2.536591787113339,8.598439031696069,8.43616947886201,0.00011748405175846084,0.009324622326163292,0.9978269681088345,0.010839006031849084,-0.023644386346889146,0.002055806168695648,0.9335555249928145,0.013568118227093213,19.741589214804065,290.0455541595754,58.00911083191507,30.06889491428457,29.960715212395197,0.0018719423863462492,0.033761245368559775,0.9653758068174398,0.04326594950242337,False
Tb927.9.11940,1,0.967295764395042,0.2986358929313479,22.170236046759342,14.264077813306635,0.03591002784999553,0.3119234422834073,31.98488959999744,221.041051239935,36.840175206655836,34.81011473233764,35.401788464346296,0.001596413266587318,0.03304901902130191,0.972511793806828,0.03995514067785669,-0.02425976564364629,0.0009977282953023126,0.9849023058284934,0.0033173103878225306,20.29908945320835,304.60837977326366,43.51548282475195,35.696221361432805,36.09067051610524,0.005141216623931836,0.052604449106207214,0.9114747881389695,0.07170227767603925,False
Tb927.9.12040,1,0.825396271210322,0.10286072642809223,3.595381182047218,1.0693077586559454,0.30773253063070793,0.05889131878228601,5.187038601445021,32.2924422227044,10.764147407568133,16.098442480249023,15.473720887933188,0.00529139589010597,0.06198366509463108,0.9091083082594189,0.07274198162069803,-0.023411417804566348,0.006482541510529813,0.8562198450452496,0.07539712961042241,18.286373174679017,216.24834300532225,54.062085751330564,25.50800808490866,25.09152702336477,0.014213792645938363,0.10002263398707538,0.7558459645677172,0.11922161148859867,False
